,AttackID,ThreatID,Interaction,Category,Description,Title,RepeatedElseWhere,RepeatedInCategory,Effect,IFlag,Source,SourceType,Destination,DestinationType
0,1,441,senCommandFcHx(),Elevation Of Privilege,FleetController may be able to impersonate the context of FleetController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,2,FleetController,GE.P,FleetController,GE.P
1,2,442,senGrantControllFcRc(),Elevation Of Privilege,FleetController may be able to impersonate the context of FleetController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,FleetController,GE.P,FleetController,GE.P
2,3,767,senCommandFcHx(),Tampering,Data flowing across senCommandFcHx() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,False,False,Information not intended for disclosure,2,RemoteController,GE.P,FleetController,GE.P
3,4,767,senCommandFcHx(),Tampering,Data flowing across senCommandFcHx() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,False,False,Data Flow Sniffing,2,RemoteController,GE.P,FleetController,GE.P
4,5,522,senKeepControllFcRc(),Elevation Of Privilege,FleetController may be able to impersonate the context of FleetController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,FleetController,GE.P,FleetController,GE.P
5,6,523,senCurentStatusFcSs(selfStatus),Elevation Of Privilege,FleetController may be able to impersonate the context of FleetController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,FleetController,GE.P,FleetController,GE.P
6,7,766,senCommandFcHx(),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,False,False,Information not intended for disclosure,2,RemoteController,GE.P,FleetController,GE.P
7,8,525,senCurentStatusRcFc(selfStatus),Elevation Of Privilege,RemoteController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,RemoteController,GE.P,RemoteController,GE.P
8,9,766,senCommandFcHx(),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,False,False,Data Flow Sniffing,2,RemoteController,GE.P,FleetController,GE.P
9,10,526,senCurentStatusRcHx(selfStatus),Elevation Of Privilege,RemoteController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,RemoteController,GE.P,RemoteController,GE.P
10,11,797,recCommandDoneHxRc(),Tampering,Data flowing across recCommandDoneHxRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,False,False,Information not intended for disclosure,1,HX01,GE.P,RemoteController,GE.P
